FIPS,POP,SUM,RATE
01001,55347,423,764.27
01003,203709,838,411.37
01009,57673,1171,2030.41
01011,10696,49,458.12
01015,115620,158,136.65
01017,34123,70,205.14
01019,25859,360,1392.17
01025,24675,67,271.53
01027,13555,66,486.91
01029,15018,152,1012.12
01031,51211,150,292.91
01037,10724,212,1976.87
01039,37835,41,108.37
01043,82005,963,1174.32
01045,49565,178,359.12
01047,41131,503,1222.92
01049,71130,737,1036.13
01051,81468,737,904.65
01055,103057,543,526.89
01057,16759,74,441.55
01061,26777,242,903.76
01063,8479,154,1816.25
01069,104173,778,746.83
01073,660367,2984,451.87
01075,13886,70,504.1
01079,33115,399,1204.89
01081,156993,1432,912.14
01087,19105,87,455.38
01089,353089,2397,678.87
01091,20028,179,893.75
01095,94725,459,484.56
01097,415395,2155,518.78
01099,21673,83,382.96
01101,226519,515,227.35
01109,33046,151,456.94
01113,59660,308,516.26
01115,87074,637,731.56
01119,13103,49,373.96
01121,80862,793,980.68
01123,40844,130,318.28
01125,203976,1568,768.72
04003,126427,578,457.18
04005,139097,391,281.1
04007,53159,560,1053.44
04009,37666,165,438.06
04012,20152,350,1736.8
04015,204737,2118,1034.5
04017,108277,384,354.65
04021,406584,1666,409.76
04023,46461,118,253.98
04025,222255,1053,473.78
04027,204275,943,461.63
05001,18433,73,396.03
05003,20838,175,839.81
05005,41053,686,1671.01
05007,249672,159,63.68
05009,37222,468,1257.32
05011,11094,59,531.82
05013,5229,79,1510.81
05015,27704,254,916.84
05017,11027,89,807.11
05019,22633,81,357.88
05023,25467,439,1723.8
05025,8311,182,2189.87
05027,24114,90,373.23
05029,21019,280,1332.13
05031,104354,363,347.85
05033,61703,309,500.79
05035,48963,409,835.32
05043,18778,82,436.68
05045,121552,865,711.63
05049,12204,80,655.52
05051,97177,279,287.1
05053,18102,195,1077.23
05057,22084,172,778.84
05061,13300,77,578.95
05063,37052,520,1403.43
05065,13445,230,1710.67
05067,17338,164,945.9
05069,71565,492,687.49
05071,26141,154,589.11
05077,9650,114,1181.35
05079,13820,54,390.74
05081,12472,103,825.85
05083,21714,198,911.85
05085,71645,449,626.7
05087,15767,213,1350.92
05089,16185,275,1699.1
05091,43908,256,583.04
05093,43738,270,617.31
05095,7399,33,446.01
05105,10189,124,1217
05109,10824,83,766.81
05111,24040,180,748.75
05115,63390,400,631.01
05117,8291,70,844.29
05119,392664,2066,526.15
05121,17469,152,870.11
05123,26589,326,1226.07
05125,117460,187,159.2
05127,10513,87,827.55
05131,127780,268,209.74
05133,17290,114,659.34
05139,40144,333,829.51
05141,16771,185,1103.09
05143,225477,749,332.18
05145,79161,798,1008.07
05147,6741,68,1008.75
05149,21713,207,953.35
06001,1638215,2802,171.04
06003,1110,42,3783.78
06005,37001,482,1302.67
06007,225411,1573,697.84
06009,44828,807,1800.21
06011,21482,195,907.74
06013,1126745,1831,162.5
06015,27254,508,1863.95
06017,184452,1868,1012.73
06019,974861,4363,447.55
06021,28017,417,1488.38
06023,135727,1402,1032.96
06025,180191,799,443.42
06027,18260,252,1380.07
06029,882176,12313,1395.75
06031,150965,557,368.96
06033,64591,628,972.27
06035,31345,250,797.58
06037,10170292,20604,202.59
06039,154998,1474,950.98
06041,261221,801,306.64
06043,17531,250,1426.05
06045,87649,592,675.42
06047,268455,2015,750.59
06049,8965,60,669.27
06051,13909,78,560.79
06053,433898,1383,318.74
06055,142456,338,237.27
06057,98877,542,548.16
06059,3169776,1128,35.59
06061,375391,1260,335.65
06063,18409,422,2292.36
06065,2361026,8152,345.27
06067,1501335,10475,697.71
06069,58792,185,314.67
06071,2128133,5448,256
06073,3299521,5799,175.75
06077,726106,3342,460.26
06079,281401,1144,406.54
06081,765135,3569,466.45
06083,444769,1489,334.78
06085,1918044,1874,97.7
06087,274146,1961,715.31
06089,179533,1210,673.97
06091,2967,32,1078.53
06093,43554,216,495.94
