"GEO_ID","NAME","B25064_001E","B25064_001M"
"id","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent"
"0500000US01001","Autauga County, Alabama","986","35"
"0500000US01003","Baldwin County, Alabama","1020","31"
"0500000US01005","Barbour County, Alabama","576","21"
"0500000US01007","Bibb County, Alabama","734","94"
"0500000US01009","Blount County, Alabama","667","29"
"0500000US01011","Bullock County, Alabama","654","98"
"0500000US01013","Butler County, Alabama","620","35"
"0500000US01015","Calhoun County, Alabama","716","24"
"0500000US01017","Chambers County, Alabama","749","23"
"0500000US01019","Cherokee County, Alabama","620","43"
"0500000US01021","Chilton County, Alabama","726","61"
"0500000US01023","Choctaw County, Alabama","525","90"
"0500000US01025","Clarke County, Alabama","555","62"
"0500000US01027","Clay County, Alabama","535","75"
"0500000US01029","Cleburne County, Alabama","585","49"
"0500000US01031","Coffee County, Alabama","803","43"
"0500000US01033","Colbert County, Alabama","697","25"
"0500000US01035","Conecuh County, Alabama","536","101"
"0500000US01037","Coosa County, Alabama","589","72"
"0500000US01039","Covington County, Alabama","612","33"
"0500000US01041","Crenshaw County, Alabama","537","23"
"0500000US01043","Cullman County, Alabama","706","33"
"0500000US01045","Dale County, Alabama","730","34"
"0500000US01047","Dallas County, Alabama","643","30"
"0500000US01049","DeKalb County, Alabama","628","34"
"0500000US01051","Elmore County, Alabama","892","42"
"0500000US01053","Escambia County, Alabama","616","36"
"0500000US01055","Etowah County, Alabama","669","17"
"0500000US01057","Fayette County, Alabama","527","33"
"0500000US01059","Franklin County, Alabama","581","64"
"0500000US01061","Geneva County, Alabama","625","41"
"0500000US01063","Greene County, Alabama","612","62"
"0500000US01065","Hale County, Alabama","577","150"
"0500000US01067","Henry County, Alabama","627","48"
"0500000US01069","Houston County, Alabama","754","8"
"0500000US01071","Jackson County, Alabama","590","35"
"0500000US01073","Jefferson County, Alabama","900","10"
"0500000US01075","Lamar County, Alabama","425","40"
"0500000US01077","Lauderdale County, Alabama","663","19"
"0500000US01079","Lawrence County, Alabama","551","30"
"0500000US01081","Lee County, Alabama","856","21"
"0500000US01083","Limestone County, Alabama","691","31"
